Time,BAFU_2473_AbflussPneumatikFluss
2021-07-19T21:30:00Z,422.408
2021-07-19T21:35:00Z,422.408
2021-07-19T21:40:00Z,423.404
2021-07-19T21:45:00Z,423.903
2021-07-19T21:50:00Z,424.651
2021-07-19T21:55:00Z,425.399
2021-07-19T22:00:00Z,426.148
2021-07-19T22:05:00Z,427.147
2021-07-19T22:10:00Z,427.897
2021-07-19T22:15:00Z,428.147
2021-07-19T22:20:00Z,428.647
2021-07-19T22:25:00Z,429.398
2021-07-19T22:30:00Z,429.147
2021-07-19T22:35:00Z,429.648
2021-07-19T22:40:00Z,430.149
2021-07-19T22:45:00Z,430.399
2021-07-19T22:50:00Z,430.9
2021-07-19T22:55:00Z,431.903
2021-07-19T23:00:00Z,432.906
2021-07-19T23:05:00Z,434.915
2021-07-19T23:10:00Z,436.171
2021-07-19T23:15:00Z,438.185
2021-07-19T23:20:00Z,440.202
2021-07-19T23:25:00Z,442.726
2021-07-19T23:30:00Z,445.508
2021-07-19T23:35:00Z,447.789
2021-07-19T23:40:00Z,450.581
2021-07-19T23:45:00Z,454.142
2021-07-19T23:50:00Z,457.968
2021-07-19T23:55:00Z,461.547
2021-07-20T00:00:00Z,464.879
2021-07-20T00:05:00Z,468.475
2021-07-20T00:10:00Z,471.049
2021-07-20T00:15:00Z,474.144
2021-07-20T00:20:00Z,476.728
2021-07-20T00:25:00Z,479.575
2021-07-20T00:30:00Z,482.168
2021-07-20T00:35:00Z,483.726
2021-07-20T00:40:00Z,485.806
2021-07-20T00:45:00Z,487.106
2021-07-20T00:50:00Z,488.67
2021-07-20T00:55:00Z,490.234
2021-07-20T01:00:00Z,491.539
2021-07-20T01:05:00Z,493.106
2021-07-20T01:10:00Z,495.722
2021-07-20T01:15:00Z,497.818
2021-07-20T01:20:00Z,499.916
2021-07-20T01:25:00Z,501.755
2021-07-20T01:30:00Z,503.332
2021-07-20T01:35:00Z,504.648
2021-07-20T01:40:00Z,505.701
2021-07-20T01:45:00Z,506.755
2021-07-20T01:50:00Z,507.283
2021-07-20T01:55:00Z,507.546
2021-07-20T02:00:00Z,508.073
2021-07-20T02:05:00Z,507.81
2021-07-20T02:10:00Z,507.546
2021-07-20T02:15:00Z,507.019
2021-07-20T02:20:00Z,506.492
2021-07-20T02:25:00Z,505.701
2021-07-20T02:30:00Z,504.648
2021-07-20T02:35:00Z,504.121
2021-07-20T02:40:00Z,503.595
2021-07-20T02:45:00Z,503.069
2021-07-20T02:50:00Z,502.806
2021-07-20T02:55:00Z,502.543
2021-07-20T03:00:00Z,501.492
2021-07-20T03:05:00Z,500.966
2021-07-20T03:10:00Z,499.916
2021-07-20T03:15:00Z,498.867
2021-07-20T03:20:00Z,497.293
2021-07-20T03:25:00Z,495.984
2021-07-20T03:30:00Z,494.936
2021-07-20T03:35:00Z,493.368
2021-07-20T03:40:00Z,491.539
2021-07-20T03:45:00Z,490.234
2021-07-20T03:50:00Z,488.93
2021-07-20T03:55:00Z,487.888
2021-07-20T04:00:00Z,486.326
2021-07-20T04:05:00Z,485.546
2021-07-20T04:10:00Z,484.505
2021-07-20T04:15:00Z,485.286
